"name","ADM0_A3","ISO_3_code_i"
"Aruba","ABW",533
"Afghanistan","AFG",4
"Islamic Republic of Afghanistan","AFG",4
"Angola","AGO",24
"Republic of Angola","AGO",24
"Anguilla","AIA",660
"Åland Islands","ALA",248
"Albania","ALB",8
"Republic of Albania","ALB",8
"Andorra","AND",20
"Principality of Andorra","AND",20
"United Arab Emirates","ARE",784
"Argentina","ARG",32
"Argentine Republic","ARG",32
"Armenia","ARM",51
"Republic of Armenia","ARM",51
"American Samoa","ASM",16
"Antarctica","ATA",10
"French Southern Territories","ATF",260
"Antigua and Barbuda","ATG",28
"Australia","AUS",36
"Austria","AUT",40
"Republic of Austria","AUT",40
"Azerbaijan","AZE",31
"Republic of Azerbaijan","AZE",31
"Burundi","BDI",108
"Republic of Burundi","BDI",108
"Belgium","BEL",56
"Kingdom of Belgium","BEL",56
"Benin","BEN",204
"Republic of Benin","BEN",204
"Bonaire, Sint Eustatius and Saba","BES",535
"Burkina Faso","BFA",854
"Bangladesh","BGD",50
"People's Republic of Bangladesh","BGD",50
"Bulgaria","BGR",100
"Republic of Bulgaria","BGR",100
"Bahrain","BHR",48
"Kingdom of Bahrain","BHR",48
"Bahamas","BHS",44
"Commonwealth of the Bahamas","BHS",44
"Bosnia and Herzegovina","BIH",70
"Republic of Bosnia and Herzegovina","BIH",70
"Saint Barthélemy","BLM",652
"Belarus","BLR",112
"Republic of Belarus","BLR",112
"Belize","BLZ",84
"Bermuda","BMU",60
"Bolivia, Plurinational State of","BOL",68
"Bolivia","BOL",68
"Plurinational State of Bolivia","BOL",68
"Brazil","BRA",76
"Federative Republic of Brazil","BRA",76
"Barbados","BRB",52
"Brunei Darussalam","BRN",96
"Bhutan","BTN",64
"Kingdom of Bhutan","BTN",64
"Bouvet Island","BVT",74
"Botswana","BWA",72
"Republic of Botswana","BWA",72
"Central African Republic","CAF",140
"Canada","CAN",124
"Cocos (Keeling) Islands","CCK",166
"Switzerland","CHE",756
"Swiss Confederation","CHE",756
"Chile","CHL",152
"Republic of Chile","CHL",152
"China","CHN",156
"People's Republic of China","CHN",156
"Côte d'Ivoire","CIV",384
"Republic of Côte d'Ivoire","CIV",384
"Cameroon","CMR",120
"Republic of Cameroon","CMR",120
"Congo, The Democratic Republic of the","COD",180
"Congo","COG",178
"Republic of the Congo","COG",178
"Cook Islands","COK",184
"Colombia","COL",170
"Republic of Colombia","COL",170
"Comoros","COM",174
"Union of the Comoros","COM",174
"Cabo Verde","CPV",132
"Republic of Cabo Verde","CPV",132
"Costa Rica","CRI",188
"Republic of Costa Rica","CRI",188
"Cuba","CUB",192
"Republic of Cuba","CUB",192
"Curaçao","CUW",531
"Christmas Island","CXR",162
"Cayman Islands","CYM",136
"Cyprus","CYP",196
"Republic of Cyprus","CYP",196
"Czechia","CZE",203
"Czech Republic","CZE",203
"Germany","DEU",276
"Federal Republic of Germany","DEU",276
"Djibouti","DJI",262
"Republic of Djibouti","DJI",262
"Dominica","DMA",212
"Commonwealth of Dominica","DMA",212
"Denmark","DNK",208
"Kingdom of Denmark","DNK",208
